time;AAN155Free;AAN155_Ba
269,165;1,15E+02;1,00E+03
269,77539;8,70E+01;9,97E+02
270,38574;9,50E+01;9,79E+02
270,99609;9,20E+01;9,96E+02
271,60645;7,80E+01;1,02E+03
272,2168;9,10E+01;9,82E+02
272,82715;8,70E+01;1,01E+03
273,4375;9,00E+01;1,07E+03
274,04785;7,50E+01;1,03E+03
274,6582;7,90E+01;9,77E+02
275,26855;8,80E+01;1,07E+03
275,87891;8,40E+01;1,00E+03
276,48926;8,10E+01;9,43E+02
277,09961;8,00E+01;9,98E+02
277,71;9,50E+01;9,54E+02
278,32031;8,90E+01;1,04E+03
278,93066;9,70E+01;1,00E+03
279,541;9,30E+01;9,42E+02
280,15137;7,40E+01;9,99E+02
280,76172;6,60E+01;1,01E+03
281,37207;8,20E+01;1,01E+03
281,98242;7,90E+01;9,88E+02
282,59277;7,30E+01;9,94E+02
283,20313;7,60E+01;9,57E+02
283,81348;7,90E+01;1,02E+03
284,42383;7,50E+01;1,01E+03
285,03418;8,60E+01;1,00E+03
285,64453;6,40E+01;9,84E+02
286,25488;8,20E+01;9,98E+02
286,86523;9,00E+01;9,48E+02
287,47559;8,90E+01;1,01E+03
288,08594;8,50E+01;9,85E+02
288,69629;7,50E+01;9,91E+02
289,30664;8,70E+01;9,85E+02
289,917;7,90E+01;9,51E+02
290,52734;9,20E+01;9,94E+02
291,1377;7,30E+01;9,76E+02
291,748;7,30E+01;9,39E+02
292,3584;7,60E+01;9,39E+02
292,96875;8,20E+01;9,77E+02
293,5791;5,70E+01;9,40E+02
294,18945;8,50E+01;9,72E+02
294,7998;8,20E+01;9,89E+02
295,41016;6,60E+01;9,42E+02
296,02051;8,90E+01;9,52E+02
296,63086;9,60E+01;9,85E+02
297,24121;1,03E+02;9,74E+02
297,85156;8,20E+01;9,63E+02
298,46191;8,90E+01;9,58E+02
299,07227;7,30E+01;9,24E+02
299,68262;8,00E+01;9,90E+02
300,293;6,60E+01;9,52E+02
300,90332;6,90E+01;9,43E+02
301,51367;6,80E+01;9,34E+02
302,124;8,30E+01;9,60E+02
302,73438;7,90E+01;9,86E+02
303,34473;9,00E+01;9,77E+02
303,95508;6,20E+01;9,58E+02
304,56543;8,70E+01;9,56E+02
305,17578;7,50E+01;9,50E+02
305,78613;7,60E+01;9,18E+02
306,39648;7,70E+01;9,81E+02
307,00684;8,00E+01;1,01E+03
307,61719;7,00E+01;9,45E+02
308,22754;7,30E+01;9,64E+02
308,83789;8,80E+01;9,78E+02
309,44824;7,50E+01;9,99E+02
310,05859;7,60E+01;9,61E+02
310,66895;8,40E+01;9,74E+02
311,2793;7,50E+01;9,57E+02
311,88965;7,30E+01;9,78E+02
312,5;8,00E+01;9,07E+02
313,11035;7,80E+01;9,56E+02
313,7207;6,90E+01;9,01E+02
314,33105;7,30E+01;9,64E+02
314,94141;7,90E+01;9,05E+02
315,55176;7,90E+01;9,38E+02
316,16211;6,40E+01;9,23E+02
316,77246;6,40E+01;9,67E+02
317,38281;8,20E+01;9,79E+02
317,99316;6,60E+01;9,08E+02
318,60352;6,70E+01;9,34E+02
319,21387;5,90E+01;9,84E+02
319,82422;7,10E+01;9,32E+02
320,43457;7,80E+01;9,85E+02
321,04492;7,30E+01;8,99E+02
321,65527;7,20E+01;9,51E+02
